Nombre,Peso,Medida,Precio,Prioridad,Tipo,Etiqueta,FrecuenciaCompra,Preferencia
CAFE CARIBE PARAMO,250,GR,4.45,4,Cafe molido,CAFE,0.3,1
CAFE GOURMET TOSTADO AL VACIO AMANECER ,250,GR,3.15,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET AMANECER,200,GR,2.45,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET FLOR DE ARAUCA,200,GR,2.25,5,Cafe molido,CAFE,0.3,0
CAFE GOURMET FLOR DE ARAUCA,500,GR,5.55,5,Cafe molido,CAFE,0.3,0
CAFÉ GOURMET JP,500,GR,5.65,4,Cafe molido,CAFE,0.3,0
CAFÉ GOURMET JP,250,GR,3.29,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET LA PROTECTORA,200,GR,2.29,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET LA PROTECTORA,500,GR,5.75,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET LA PROTECTORA,250,GR,2.89,4,Cafe molido,CAFE,0.3,0
CAFÉ GOURMET TOSTADO Y MOLIDO O'SOLE,200,GR,2.39,4,Cafe molido,CAFE,0.3,0
CAFE CATATUMBO PARAMO,340,GR,7.99,5,Cafe molido,CAFE,0.3,0
CAFE EXCELSO GOURMET SAN ANTONIO,200,GR,2.59,4,Cafe molido,CAFE,0.3,0
CAFE EXPRESSO SAN DOMINGO GOURMET,500,GR,6.85,4,Cafe molido,CAFE,0.3,0
CAFE MOLIDO PREMIUM SAN DOMINGO GOURMET,250,GR,3.45,5,Cafe molido,CAFE,0.3,0
CAFE GOURMET SAN DOMINGO ,200,GR,2.75,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET SAN SALVADOR,500,GR,5.55,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET SAN SALVADOR,200,GR,2.25,4,Cafe molido,CAFE,0.3,0
CAFE GOURMET TOSTADO AL VACIO AMANECER ,500,GR,6.05,4,Cafe molido,CAFE,0.3,0
CAFÉ EXCELSO GOURMET SAN ANTONIO,500,GR,6.45,4,Cafe molido,CAFE,0.3,0
HARINA DE MAÍZ AMARILLA KALY,1,KG,0.69,5,Harina de maiz,HARINA,0.8,1
HARINA DE MAÍZ BLANCO KALY,1,KG,0.75,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ BLANCO MARY,2,KG,1.89,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ BLANCO MARY,900,GR,0.79,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ BLANCO Y ARROZ P.A.N,1,KG,0.99,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ AMARILLO P.A.N,1,KG,1.09,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ BLANCO P.A.N,2,KG,2.05,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ BLANCO P.A.N,1,KG,1.09,5,Harina de maiz,HARINA,0.8,0
HARINA DE MAÍZ SEMILLAS NUTRITIVAS P.A.N,500,GR,2.55,1,Harina de maiz,HARINA,0.8,0
ACEITE DE OLIVA VIRGEN EXTRA CARBONELL,500,CC,17.89,2,Aceite de oliva,ACEITE,0.2,1
ACEITE DE OLIVA VIRGEN EXTRA CARBONELL,750,CC,25.2,2,Aceite de oliva,ACEITE,0.2,0
ACEITE DE OLIVA VIRGEN EXTRA CINQUINA,1,LT,30.55,1,Aceite de oliva,ACEITE,0.2,0
ACEITE DE COCO ORGANICO VIRGEN KALDINI,500,GR,14.99,1,Aceite de coco,ACEITE,0.2,1
ACEITE DE OLIVA MARY,500,ML,18.35,1,Aceite de oliva,ACEITE,0.2,0
ACEITE DE MAIZ MACEITE,1,LT,3.95,3,Aceite vegetal,ACEITE,0.2,1
ACEITE DE OLIVA EXTRA VIRGEN PERCA,500,ML,16.39,1,Aceite de oliva,ACEITE,0.2,0
ACEITE DE OLIVA EXTRA VIRGEN PERCA,250,ML,8.99,1,Aceite de oliva,ACEITE,0.2,0
ACEITE DE SOYA VATEL,1,LT,3.99,3,Aceite vegetal,ACEITE,0.2,0
LECHE COMPLETA BOLSA CAMPESTRE,900,GR,11.75,5,Leche,LECHE,0.2,1
ARROZ CANILLA TIPO 1 LA LUCHA,1.0,KG,1.69,5,Arroz,Arroz y granos,0.5,1
HARINA DE TRIGO TODO USO BLANCAFLOR,1.0,KG,1.49,4,Trigo,HARINAS-PASTAS,0.5,1
